mse train,
,
1,24.44430689
2,24.41139452
3,24.30725849
4,24.30702497
5,24.1633187
6,24.15730171
7,23.94793347
8,23.83083762
9,23.81471912
10,23.81464784
11,23.81444026
12,23.81163921
13,23.80208218
14,23.79368014
15,23.78572551
16,23.74755564
17,23.63025294
18,23.60872113
19,23.60454799
20,23.60049828
21,23.60001108
22,23.53761038
23,23.52593051
24,23.50701328
25,23.49693965
26,23.49081254
27,23.41219896
28,23.4121985
29,23.35509526
30,23.29338596
31,23.24847061
32,23.2381423
33,23.23035324
34,23.18409445
35,23.1742446
36,23.12875792
37,23.09415848
38,23.01398637
39,22.75024935
40,22.58106986
41,22.39787031
42,22.21744554
43,22.16919246
44,22.16223522
45,21.98522059
46,21.98520593
47,21.89516676
48,21.89515802
49,21.78722486
50,21.71236327
51,21.58695256
52,21.58577509
53,21.50389196
54,21.48073711
55,21.13968419
56,21.10272419
57,21.09788465
58,21.09064151
59,21.05169213
60,20.86546206
61,20.86198235
62,20.85991519
63,20.60441056
64,20.59667147
65,20.59493736
66,20.57385538
67,20.55888249
68,20.46923594
69,20.46059218
70,20.45459652
71,20.42890372
72,20.39734611
73,20.39046229
74,20.39045406
75,20.36932946
76,20.30659073
77,20.27259369
78,20.26173785
79,20.23147499
80,20.21982282
81,20.20532642
82,19.94615773
83,19.93206903
84,19.82302621
85,19.80983079
86,19.55161084
87,19.43431865
88,19.43127166
89,19.42318566
90,19.41256488
91,19.39415065
92,19.37745818
93,19.35910453
94,19.33673957
95,19.3118492
96,19.30448189
97,19.19625649
98,19.16922197
99,19.11762427
100,19.05090554
mse test,
,
1,24.66697233
2,24.639337
3,24.23279598
4,24.21732902
5,24.56940935
6,24.62999682
7,24.1815212
8,24.20468692
9,24.36934882
10,24.37659712
11,24.34588983
12,24.28113684
13,24.25277701
14,24.16541421
15,24.23344471
16,24.09134657
17,24.1109501
18,23.96480433
19,23.86423529
20,23.91841044
21,23.91477732
22,23.68942865
23,23.54686254
24,23.67622921
25,23.79090738
26,23.92366926
27,23.59601098
28,23.59580617
29,23.37803933
30,23.45187082
31,23.21097306
32,23.40440792
33,23.46710484
34,23.75260362
35,23.93799872
36,24.26620365
37,23.9228941
38,24.19120973
39,23.73779353
40,23.62921064
41,23.70135583
42,23.69899385
43,23.34917695
44,23.20392773
45,24.13221709
46,24.13013562
47,24.50343273
48,24.5087098
49,25.16969377
50,24.96031117
51,25.3432261
52,25.31202441
53,24.95195494
54,24.74531018
55,25.33506374
56,25.38931001
57,25.47805271
58,25.4474036
59,26.08660933
60,26.6500776
61,26.65601183
62,26.69799976
63,26.48129187
64,26.63978757
65,26.56699954
66,26.57922964
67,26.60231359
68,27.48985389
69,27.34687344
70,27.34047307
71,27.37491396
72,27.05007764
73,26.99600577
74,26.9951641
75,27.18308348
76,27.8604833
77,27.87578007
78,27.69444256
79,27.77959965
80,27.94598294
81,28.04244534
82,29.13210555
83,29.38734847
84,30.1253442
85,30.59531374
86,31.44936744
87,29.95646526
88,30.00954963
89,29.97126485
90,29.90597301
91,29.82103213
92,30.13295103
93,30.42560822
94,30.44878806
95,30.01547892
96,29.99291019
97,30.49444163
98,30.31508697
99,30.16007182
100,30.51880322
